Latitude,Longitude,class,Gentime
42.28805923,-83.69944763,A2,2.93E+14
42.3273201,-84.42902374,A2,2.93E+14
42.27185822,-84.42701721,A2,2.93E+14
42.27030182,-83.73448944,A2,2.93E+14
42.27030182,-83.73448181,A2,2.93E+14
42.27312851,-83.7203064,A2,2.93E+14
42.23123169,-83.68522644,A2,2.93E+14
42.23125076,-83.68522644,A2,2.93E+14
42.17139053,-83.68476105,A2,2.93E+14
42.22042847,-83.44023895,A2,2.93E+14
42.22042847,-83.4402771,A2,2.93E+14
42.21852875,-83.54647827,A2,2.93E+14
42.21852112,-83.54651642,A2,2.93E+14
42.2184906,-83.54673767,A2,2.93E+14
42.2184906,-83.54680634,A2,2.93E+14
42.29861069,-83.87814331,A2,2.93E+14
42.30633926,-83.68744659,A2,2.93E+14
42.23059082,-83.69582367,A2,2.93E+14
42.23070908,-83.69602966,A2,2.93E+14
42.23072052,-83.69606018,A2,2.93E+14
42.23252106,-83.70005798,A2,2.93E+14
42.23254013,-83.7000885,A2,2.93E+14
42.29476166,-83.6829071,A2,2.93E+14
42.29481125,-83.6829834,A2,2.93E+14
42.29483032,-83.68300629,A2,2.93E+14
42.29484177,-83.68302917,A2,2.93E+14
42.29486084,-83.68305206,A2,2.93E+14
42.29718018,-83.87809753,A2,2.93E+14
42.29708099,-83.8780899,A2,2.93E+14
42.29708099,-83.8780899,A2,2.93E+14
42.29706955,-83.8780899,A2,2.93E+14
42.29684067,-83.87808228,A2,2.93E+14
42.29682922,-83.87808228,A2,2.93E+14
42.29681015,-83.87808228,A2,2.93E+14
42.18117905,-83.9329834,A2,2.93E+14
42.18117142,-83.9329834,A2,2.93E+14
42.18115997,-83.9329834,A2,2.93E+14
42.18115997,-83.9329834,A2,2.93E+14
42.18114853,-83.9329834,A2,2.93E+14
42.18114853,-83.9329834,A2,2.93E+14
42.18114853,-83.9329834,A2,2.93E+14
42.1811409,-83.9329834,A2,2.93E+14
42.18112946,-83.9329834,A2,2.93E+14
42.18112183,-83.9329834,A2,2.93E+14
42.18111038,-83.9329834,A2,2.93E+14
42.18112183,-83.9329834,A2,2.93E+14
42.3061409,-83.68743896,A2,2.93E+14
42.30611038,-83.68743896,A2,2.93E+14
42.30609131,-83.68743896,A2,2.93E+14
42.30606842,-83.68743896,A2,2.93E+14
42.21847916,-83.54992676,A2,2.93E+14
