,RxDevice,FileId,TxDevice,Gentime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence,DHeading,class
2295458,2332,2470606,2332,2.92773E+14,28131,34,2539,42.22999954,-83.69510651,229,31.10000038,123.4124985,0.779999971,20.01000023,0,14.06999969,5,533.4000244,26,1.275001526,S
2295459,2332,2470606,2332,2.92773E+14,28131,35,2540,42.22998047,-83.69508362,229.1000061,30.94000053,122.1374969,0.5,20.01000023,0,11.31999969,5,340.7999878,92,0.474998474,S
2302941,2332,2470607,2332,2.92777E+14,-2842,24,3479,42.23266983,-83.70062256,217.5,31.57999992,300.0499878,0.479999989,20.01000023,-0.059999999,10.14999962,4,376.5,36,3.074981689,S
1176536,2178,2572705,2178,2.92761E+14,-8873,121,4223,42.30619812,-83.68743896,242.1999969,18.5,173.3249969,1.580000043,20.01000023,0,13.89999962,20,3276.699951,22,4.375,S
1176537,2178,2572705,2178,2.92761E+14,-8873,122,4224,42.30617905,-83.68743896,242.1999969,19.29999924,174.7749939,2.769999981,20.01000023,0,13.85999966,20,398.7999878,34,2.625,S
1176538,2178,2572705,2178,2.92761E+14,-8873,123,4225,42.30615997,-83.68743896,242.1999969,20.52000046,176.3125,4.619999886,20.01000023,0,14.14000034,20,211.8000031,46,0.712493896,S
1176539,2178,2572705,2178,2.92761E+14,-8873,124,4226,42.3061409,-83.68743896,242.1999969,21.47999954,177.375,6.059999943,20.01000023,0,13.59000015,20,149.1000061,95,4.037506104,S
1570429,2214,2772859-A,2214,2.92763E+14,-8423,89,5351,42.23194885,-83.69921112,218,23.5,121.6624985,-0.379999995,20.01000023,0,16.22999954,5,246,38,0.400001526,S
1578444,2214,2772860,2214,2.92784E+14,-12938,121,5724,42.27473068,-83.68240356,214.3000031,10.85999966,269.5499878,0.850000024,20.01000023,0,14.17000008,10,151,24,4.725006104,S
1578445,2214,2772860,2214,2.92784E+14,-12938,122,5725,42.27473068,-83.68241882,214.3000031,10.92000008,270.5750122,0.819999993,20.01000023,0,13.89000034,10,91.19999695,33,1.274993896,S
1578446,2214,2772860,2214,2.92784E+14,-12938,123,5726,42.27473831,-83.68242645,214.3000031,11.02000046,271.7625122,0.819999993,20.01000023,0,13.36999989,10,67.59999847,46,2.150024414,S
2643375,2375,2867657,2375,2.92799E+14,-5519,21,3519,42.27371979,-83.69819641,197.3999939,13.93999958,108.3125,-1.690000057,20.01000023,0,12.94999981,4,450.2000122,36,0.612503052,S
215995,2053,3504429,2053,2.92775E+14,4969,116,320,42.28797913,-83.69838715,223.6999969,10.89999962,91.0625,1.419999957,20.01000023,-0.02,10.25,9,87.19999695,36,4.962501526,S
2110471,2321,1595341,2321,2.92771E+14,-23155,32,5002,42.23085022,-83.68521881,221.8000031,21.71999931,359.5750122,-8.600000381,20.01000023,0,0.280000001,2,3276.699951,66,0.350006104,B1
437346,2087,1828791,2087,2.92772E+14,22455,83,16309,41.86587143,-83.66124725,171.1000061,32.13999939,174.75,-8.68999958,20.01000023,-1.320000052,-7.340000153,3,-755.5,24,4.675003052,B1
2207387,2325,1898561,2325,2.92802E+14,20975,9,4219,42.21854019,-83.54621124,177.3999939,27.73999977,267.5249939,-8.930000305,20.01000023,0,5.860000134,4,456.3999939,82,5.4375,B1
2207388,2325,1898561,2325,2.92802E+14,20975,10,4220,42.21854019,-83.54624176,177.3999939,26.87999916,268.1375122,-9.479999542,20.01000023,0,5.800000191,4,394.1000061,82,6.075012207,B1
1863897,2275,2467062,2275,2.92806E+14,32220,71,4430,42.29457855,-83.68269348,235.8999939,19.04000092,320.5499878,-8.359999657,20.01000023,0,4.340000153,2,823.4000244,38,2.024993896,B1
1863898,2275,2467062,2275,2.92806E+14,32220,72,4431,42.29459,-83.68270111,235.8999939,18.23999977,320.2875061,-8.68999958,20.01000023,0,1.99000001,2,607.9000244,45,1.662506104,B1
1436862,2200,1251271-B,2200,2.92799E+14,-5397,70,4878,42.33324051,-83.07369995,143.6000061,32.52000046,246.8249969,-7.03000021,20.01000023,-0.059999999,-3.279999971,4,-1430.800049,70,1.400009155,B2
649355,2111,1292017,2111,2.92773E+14,5299,24,1851,42.27032089,-83.73148346,233.1999969,9.720000267,180.3374939,-7.389999866,20.01000023,-0.920000017,5.289999962,14,1239.199951,21,3.487487793,B2
2110470,2321,1595341,2321,2.92771E+14,-23155,31,5001,42.23083115,-83.68521118,221.8000031,22.42000008,359.6499939,-7.840000153,20.01000023,0,1.00999999,2,3276.699951,53,0.387481689,B2
2110472,2321,1595341,2321,2.92771E+14,-23155,33,5003,42.23086166,-83.68521881,221.8000031,21.15999985,359.4125061,-7.769999981,20.01000023,0,-0.439999998,2,3276.699951,40,0.225006104,B2
